date,return
2008-01-01,-0.00025
2008-01-02,-0.0019031277501507593
2008-01-03,-0.0030119287936642893
2008-01-04,-0.01668801190184837
2008-01-07,0.002687299061453844
2008-01-08,-0.009301184655212257
2008-01-09,0.008742933114978929
2008-01-10,0.008125114410023374
2008-01-11,-0.005434955262974299
2008-01-14,0.00659852224463277
2008-01-15,-0.01723281711714796
2008-01-16,-0.002494616377637345
2008-01-17,-0.014779646112441248
2008-01-18,-0.0037281721503388816
2008-01-21,-0.0033836730317262083
2008-01-22,0.004970761940121719
2008-01-23,0.020794495701661933
2008-01-24,0.0049186256701121665
2008-01-25,-0.008376415367544186
2008-01-28,0.015391944983454182
2008-01-29,0.0008213765385628891
2008-01-30,-0.004368220697974612
2008-01-31,0.012078849351148684
2008-02-01,0.007074081706098136
2008-02-04,-0.006737373712191609
2008-02-05,-0.021946270653497656
2008-02-06,-0.003132903474427572
2008-02-07,0.007803127527821958
2008-02-08,-0.0032844780553484133
2008-02-11,0.0009339932959564176
2008-02-12,0.0034645401977843582
2008-02-13,0.007327386651377576
2008-02-14,-0.009511137143772844
2008-02-15,0.000587271889618718
2008-02-18,0.0004938968467979997
2008-02-19,0.0016110173901560223
2008-02-20,0.008668290219168361
2008-02-21,-0.007163559810589529
2008-02-22,0.006148100922760806
2008-02-25,0.008623344062211723
2008-02-26,0.005379797368417913
2008-02-27,0.0005498648145822621
2008-02-28,-0.003262933500080768
2008-02-29,-0.01145434248692189
2008-03-03,0.002871305455296637
2008-03-04,-0.006647871093717306
2008-03-05,0.0064229428134246844
2008-03-06,-0.017448553243014992
2008-03-07,-0.0022485058645264743
2008-03-10,-0.009088141052224927
2008-03-11,0.024689632363525886
2008-03-12,-0.0033791669859872496
2008-03-13,0.005634508665541978
2008-03-14,-0.009635414218160126
2008-03-17,-0.003085174766408914
2008-03-18,0.021410051426127598
2008-03-19,-0.017495751945717668
2008-03-20,0.010080897413587218
2008-03-21,0.0016501705919011128
2008-03-24,0.00755740831999806
2008-03-25,0.006067659019262486
2008-03-26,-0.003934292743395708
2008-03-27,-0.00795819684795683
2008-03-28,-0.00768726854529454
2008-03-31,0.0009917381234872105
2008-04-01,0.0022312242328457427
